Wavelength(nm)	Intensity
806.74	17333.98
806.781	18353.58
806.822	19415.98
806.864	20003.08
806.905	19941.78
806.946	19518.18
806.987	18682.98
807.028	17559.58
807.069	16381.28
807.11	15410.28
807.151	14582.48
807.193	14290.88
807.234	14629.28
807.275	15170.18
807.316	16313.18
807.357	17210.48
807.398	18491.68
807.439	19501.88
807.48	19853.68
807.521	19944.28
807.562	19422.88
807.603	18551.58
807.644	17415.88
807.685	16197.48
807.726	14922.18
807.767	14412.88
807.808	14173.18
807.848	14394.08
807.889	15139.18
807.93	16175.08
807.971	17259.88
808.012	18355.08
808.053	19352.58
808.094	19714.48
808.135	19612.08
808.176	19000.88
808.216	18087.48
808.257	16934.28
808.298	15775.18
808.339	14697.98
808.38	13971.28
808.42	13717.88
808.461	13960.98
808.502	14664.08
808.543	15660.38
808.583	16682.68
808.624	17874.48
808.665	18748.08
808.706	19028.08
808.746	19059.28
808.787	18520.28
808.828	17538.18
808.868	16504.58
808.909	15166.48
808.95	14339.38
808.99	13646.18
809.031	13286.78
809.072	13624.48
809.112	14372.58
809.153	15215.88
809.193	16320.48
809.234	17588.38
809.275	18426.28
809.315	18882.48
809.356	18842.28
809.396	18295.98
809.437	17339.08
809.477	16418.38
809.518	15317.48
809.558	14271.28
809.599	13579.98
809.639	13251.28
809.68	13551.38
809.72	13995.18
809.761	14971.58
809.801	15900.48
809.842	16932.38
809.882	17859.28
809.922	18240.88
809.963	18431.58
810.003	18078.28
810.044	17316.98
810.084	16216.88
810.124	15323.68
810.165	14261.58
810.205	13586.28
810.245	13060.98
810.286	12964.48
810.326	13335.08
810.366	14054.18
810.407	14996.48
810.447	15905.58
810.487	16714.38
810.527	17579.18
810.568	17784.78
810.608	17682.88
810.648	17087.28
810.688	16279.38
810.729	15377.08
810.769	14233.58
810.809	13217.08
810.849	12545.58
810.889	12084.88
810.93	12211.28
810.97	12606.18
811.01	13214.68
811.05	13927.08
811.09	14790.08
811.13	15562.18
811.17	15978.48
811.211	16016.28
811.251	16079.28
811.291	15552.78
811.331	14922.78
811.371	14341.08
811.411	13570.98
811.451	12890.28
811.491	12555.98
811.531	12228.48
811.571	12254.18
811.611	12525.48
811.651	12912.28
811.691	13433.68
811.731	13676.58
811.771	13956.58
811.811	14139.08
811.851	14183.08
811.891	14086.48
811.931	13735.58
811.971	13341.58
812.01	13240.28
812.05	12832.18
812.09	12730.48
812.13	12732.68
812.17	12989.98
812.21	13203.98
812.25	13321.98
812.289	13525.28
812.329	13815.78
