Wavelength(nm)	Intensity
813.519	15309.12
813.559	14665.32
813.598	13446.02
813.638	12204.22
813.677	10578.62
813.717	9057.52
813.756	8070.42
813.796	7621.82
813.835	7785.82
813.875	8525.42
813.914	9517.02
813.953	10944.92
813.993	12063.02
814.032	13023.32
814.072	13672.52
814.111	13450.52
814.15	12988.92
814.19	11939.72
814.229	10622.52
814.268	9254.72
814.308	8114.32
814.347	7303.52
814.386	7030.72
814.426	7460.02
814.465	8085.32
814.504	9159.22
814.543	10277.82
814.583	11318.52
814.622	12137.72
814.661	12317.52
814.7	12139.62
814.74	11456.22
814.779	10511.92
814.818	9188.92
814.857	8057.12
814.896	7095.52
814.936	6585.52
814.975	6551.92
815.014	6997.72
815.053	7623.32
815.092	8675.22
815.131	9912.32
815.17	10852.82
815.209	11347.42
815.249	11523.62
815.288	11345.62
815.327	10563.92
815.366	9592.82
815.405	8459.32
815.444	7216.52
815.483	6495.52
815.522	5982.72
815.561	5910.12
815.6	6309.02
815.639	7019.32
815.678	8010.82
815.717	8964.82
815.756	9934.22
815.795	10279.72
815.834	10628.22
815.873	10278.42
815.912	9524.12
815.95	8705.62
815.989	7494.52
816.028	6513.12
816.067	5662.82
816.106	5211.62
816.145	5173.72
816.184	5523.02
816.223	6163.42
816.261	6968.72
816.3	7926.22
816.339	8522.92
816.378	9059.22
816.417	9239.72
816.455	8893.02
816.494	8256.72
816.533	7561.62
816.572	6498.72
816.61	5592.72
816.649	4870.12
816.688	4506.92
816.727	4466.62
816.765	4760.22
816.804	5412.12
816.843	6147.12
816.881	6850.52
816.92	7526.12
816.959	7922.32
816.997	8130.42
817.036	7853.12
817.075	7207.02
817.113	6577.62
817.152	5743.92
817.19	5021.02
817.229	4366.62
817.267	4042.02
817.306	3972.22
817.345	4246.72
817.383	4810.52
817.422	5459.92
817.46	6286.82
817.499	6931.22
817.537	7247.02
817.576	7302.82
817.614	7209.02
817.653	6690.42
817.691	6113.52
817.73	5309.52
817.768	4615.52
817.806	4044.62
817.845	3671.22
817.883	3576.82
817.922	3823.12
817.96	4140.42
817.998	4852.42
818.037	5385.32
818.075	6087.12
818.114	6334.12
818.152	6561.12
818.19	6460.22
818.229	6097.12
818.267	5643.72
818.305	4888.32
818.343	4192.82
818.382	3698.72
818.42	3301.72
818.458	3087.62
818.497	3231.92
818.535	3519.22
818.573	3907.72
818.611	4427.52
818.649	4887.32
818.688	5239.82
818.726	5468.12
818.764	5441.72
818.802	5207.62
818.84	4788.72
818.879	4222.92
818.917	3630.42
818.955	3457.22
818.993	2844.12
819.031	2661.82
819.069	2679.12
819.107	2831.92
819.145	3115.72
819.183	3530.12
819.222	3896.02
819.26	4275.02
819.298	4453.32
819.336	4400.42
819.374	4305.32
819.412	4005.52
819.45	3669.62
819.488	3255.52
819.526	2826.32
819.564	2536.12
819.602	2344.82
819.64	2286.52
819.678	2412.22
819.715	2570.42
819.753	2927.32
819.791	3275.92
819.829	3536.52
819.867	3710.52
819.905	3828.72
819.943	3786.72
819.981	3550.52
820.019	3234.92
820.056	2916.72
820.094	2593.82
820.132	2306.82
820.17	2150.42
820.208	2064.02
820.246	2071.62
820.283	2269.82
820.321	2409.02
820.359	2702.12
820.397	2946.82
820.434	3071.72
820.472	3215.02
820.51	3215.12
820.548	3066.62
820.585	2892.92
820.623	2687.52
820.661	2338.82
820.698	2129.22
820.736	1940.92
820.774	1818.62
820.811	1751.22
820.849	1821.12
820.887	1950.52
820.924	2111.72
820.962	2287.52
820.999	2435.32
821.037	2553.82
821.075	2593.12
821.112	2544.92
821.15	2435.72
821.187	2255.82
821.225	2105.62
821.262	1885.62
821.3	1703.92
821.337	1642.62
821.375	1516.82
821.412	1502.52
821.45	1556.32
821.487	1607.22
821.525	1781.52
821.562	1870.72
821.6	1927.12
821.637	2028.92
821.675	1990.72
821.712	1975.42
821.749	1840.12
821.787	1725.32
821.824	1603.02
821.862	1433.52
821.899	1406.72
821.936	1299.52
821.974	1280.12
822.011	1311.22
822.048	1356.12
822.086	1432.72
822.123	1507.32
822.16	1550.12
822.197	1594.32
822.235	1654.82
822.272	1623.32
822.309	1572.82
822.346	1471.82
822.384	1450.52
822.421	1362.12
822.458	1286.62
822.495	1272.52
822.533	1226.72
822.57	1213.92
822.607	1215.72
822.644	1249.82
822.681	1296.12
822.718	1321.32
822.756	1382.52
822.793	1377.12
822.83	1382.82
822.867	1331.92
822.904	1388.72
822.941	1333.72
822.978	1273.92
823.015	1209.32
823.052	1194.72
823.089	1177.72
823.126	1151.92
823.163	1151.62
823.2	1162.32
823.237	1147.82
823.274	1168.82
823.311	1192.92
823.348	1132.02
823.385	1165.62
823.422	1163.42
823.459	1178.92
823.496	1173.02
823.533	1074.62
823.57	1115.82
823.607	1095.92
823.644	1066.62
823.681	1067.32
823.718	1052.62
823.754	1051.22
823.791	1043.52
823.828	1017.72
823.865	1048.62
823.902	1079.42
823.939	1031.22
823.975	1062.82
824.012	988.92
824.049	1016.02
824.086	1016.42
824.123	1028.02
824.159	1015.12
824.196	1040.82
824.233	1014.52
824.27	1008.52
824.306	987.42
824.343	992.12
824.38	1030.92
824.416	1005.82
824.453	971.42
824.49	961.82
824.526	961.52
824.563	952.52
824.6	959.32
824.636	947.12
824.673	938.42
824.709	972.52
824.746	951.62
824.783	987.92
824.819	1002.12
824.856	981.62
824.892	1051.12
824.929	998.72
824.965	1024.72
825.002	945.62
825.039	1013.72
825.075	942.22
825.112	956.62
825.148	926.12
825.184	949.72
825.221	935.62
825.257	922.62
825.294	938.22
825.33	987.12
825.367	997.22
825.403	1030.72
825.44	1019.82
825.476	1017.12
825.512	1076.32
825.549	1097.62
825.585	1085.02
825.621	1017.02
825.658	1022.12
825.694	975.22
825.73	960.42
825.767	943.82
825.803	955.12
825.839	924.72
825.876	909.22
825.912	930.22
825.948	979.02
825.985	1028.72
826.021	1036.02
826.057	1059.92
826.093	1114.52
826.129	1125.82
826.166	1114.02
826.202	1107.52
826.238	1062.42
826.274	1033.12
826.31	1010.42
826.347	965.32
826.383	928.22
826.419	926.32
826.455	939.42
826.491	937.82
826.527	981.12
826.563	995.62
826.599	1077.72
826.636	1062.62
826.672	1135.12
826.708	1116.32
826.744	1112.32
826.78	1103.52
826.816	1068.32
826.852	1032.92
826.888	1060.42
826.924	986.92
826.96	972.32
826.996	917.92
827.032	979.72
827.068	926.92
827.104	971.62
827.14	982.92
827.176	1070.22
827.212	1068.32
827.247	1112.42
827.283	1182.92
827.319	1210.52
827.355	1190.92
827.391	1147.22
827.427	1126.12
827.463	1040.52
827.499	988.72
827.534	988.62
827.57	962.92
827.606	959.02
827.642	967.62
827.678	986.72
827.713	1054.52
827.749	1064.22
827.785	1169.02
827.821	1250.72
827.856	1224.22
827.892	1254.22
827.928	1255.02
827.964	1226.42
827.999	1125.62
828.035	1113.92
828.071	1065.92
828.106	1010.82
828.142	950.22
828.178	971.72
828.213	941.02
828.249	1029.12
828.285	1049.72
828.32	1117.82
828.356	1168.02
828.391	1201.72
828.427	1210.82
828.463	1269.82
828.498	1285.02
828.534	1239.22
828.569	1166.52
828.605	1139.72
828.64	1081.22
828.676	980.02
828.711	926.82
828.747	939.72
828.782	928.02
828.818	984.52
828.853	1008.52
828.889	1038.62
828.924	1117.12
828.96	1159.62
828.995	1182.32
829.031	1218.32
829.066	1249.52
829.101	1216.42
829.137	1130.72
829.172	1050.22
829.208	978.82
829.243	957.52
829.278	898.52
829.314	905.62
829.349	914.12
829.384	942.32
829.42	969.42
829.455	1012.42
829.49	1090.02
829.525	1188.62
829.561	1205.22
829.596	1259.62
829.631	1214.92
829.666	1185.32
829.702	1122.12
829.737	1070.82
829.772	985.32
829.807	938.72
829.842	892.72
829.878	869.42
829.913	879.02
829.948	931.62
829.983	960.92
830.018	998.92
830.053	1067.62
830.089	1172.12
830.124	1130.82
830.159	1170.62
830.194	1152.42
830.229	1145.32
830.264	1095.42
830.299	1028.62
830.334	999.62
830.369	936.92
830.404	881.72
830.439	882.82
830.474	830.52
830.509	880.82
830.544	946.32
830.579	980.82
830.614	1034.52
830.649	1108.92
830.684	1087.72
830.719	1137.62
830.754	1109.22
830.789	1088.32
830.824	1025.52
830.859	985.32
830.894	905.12
830.928	822.22
830.963	843.52
830.998	854.22
831.033	841.02
831.068	857.22
831.103	861.72
831.138	934.42
831.172	956.92
831.207	1005.92
831.242	1028.52
831.277	1017.42
831.312	1038.72
831.346	941.22
831.381	940.92
831.416	913.82
831.451	862.42
831.485	807.62
831.52	784.82
831.555	786.72
831.589	737.52
831.624	762.72
831.659	795.72
831.693	850.82
831.728	907.52
831.763	928.82
831.797	945.52
831.832	915.62
831.867	903.42
831.901	901.12
831.936	845.82
831.97	797.02
832.005	771.12
832.04	742.92
832.074	711.72
832.109	752.42
832.143	740.52
