Wavelength(nm)	Intensity
801.557	17207.45
801.599	17192.45
801.642	17330.85
801.684	17196.05
801.726	17326.75
801.769	17278.95
801.811	17200.55
801.854	17293.75
801.896	17296.35
801.938	17334.65
801.981	17301.05
802.023	17397.55
802.065	17229.95
802.107	17351.95
802.15	17394.15
802.192	17402.55
802.234	17391.75
802.276	17338.65
802.319	17462.65
802.361	17629.05
802.403	17607.55
802.445	17387.25
802.488	17690.65
802.53	17717.95
802.572	17655.55
802.614	17707.65
802.656	17830.85
802.698	17735.25
802.741	17850.15
802.783	17723.45
802.825	17811.55
802.867	17797.55
802.909	17812.95
802.951	17786.65
802.993	17721.15
803.035	17606.05
803.077	17852.85
803.119	17677.15
803.161	17658.55
803.204	17789.45
803.246	17614.35
803.288	17661.45
803.33	17584.85
803.372	17724.65
803.414	17454.75
803.456	17643.95
803.497	17484.25
803.539	17529.05
803.581	17474.95
803.623	17222.05
803.665	17371.05
803.707	17314.35
803.749	17331.85
803.791	17314.75
803.833	17207.85
803.875	17293.15
803.917	17187.45
803.958	17216.45
804	17079.75
804.042	17109.95
804.084	17050.45
804.126	17134.05
804.168	17259.15
804.209	17046.55
804.251	17038.65
804.293	17126.15
804.335	17010.15
804.376	17191.55
804.418	17249.65
804.46	17178.95
804.502	17183.95
804.543	17217.75
804.585	17354.05
804.627	17295.75
804.668	17292.95
804.71	17480.35
804.752	17592.55
804.793	17500.95
804.835	17605.05
804.877	17581.05
804.918	17589.45
804.96	17796.55
805.002	17763.95
805.043	17687.75
805.085	17879.85
805.126	17781.15
805.168	17856.15
805.209	17842.55
805.251	17959.75
805.293	18120.45
805.334	18028.45
805.376	17982.25
805.417	18119.95
805.459	18101.55
805.5	18168.25
805.542	18065.15
805.583	18078.45
805.624	18160.55
805.666	17969.15
805.707	17990.35
805.749	18020.55
805.79	17831.25
805.832	17977.15
805.873	17897.45
805.914	17886.15
805.956	17895.75
805.997	17771.65
806.039	17748.15
806.08	17734.25
806.121	17626.95
806.163	17652.25
806.204	17632.45
806.245	17557.25
806.286	17708.65
806.328	17478.45
806.369	17332.85
806.41	17435.65
806.452	17356.05
806.493	17336.75
806.534	17422.15
806.575	17292.45
806.616	17259.65
806.658	17231.25
806.699	17278.35
806.74	17268.15
806.781	17230.75
806.822	17266.15
806.864	17216.25
806.905	17158.95
806.946	17182.35
806.987	17211.15
807.028	17268.75
807.069	17176.45
807.11	17247.45
807.151	17306.65
807.193	17145.05
807.234	17264.45
807.275	17132.35
807.316	17161.35
807.357	17153.65
807.398	17149.85
807.439	17161.05
807.48	17099.85
807.521	17269.45
807.562	17130.05
807.603	17073.75
807.644	17201.05
807.685	17020.65
807.726	17178.35
807.767	17214.05
807.808	17207.35
807.848	17099.25
807.889	17118.35
807.93	17021.25
807.971	17068.05
808.012	17042.25
808.053	16934.75
808.094	17000.65
808.135	16840.25
808.176	16769.05
808.216	16767.65
808.257	16703.45
808.298	16572.35
808.339	16809.15
808.38	16807.45
808.42	16786.05
808.461	16625.15
808.502	16712.25
808.543	16520.55
808.583	16568.85
808.624	16346.65
808.665	16361.25
808.706	16313.25
808.746	16284.45
808.787	16352.45
808.828	16275.35
808.868	16344.75
808.909	16247.65
808.95	16173.55
808.99	16216.35
809.031	16225.95
809.072	16136.65
809.112	16211.75
809.153	16254.05
809.193	16236.65
809.234	16100.55
809.275	16028.45
809.315	16261.65
809.356	16091.45
809.396	16211.15
809.437	16039.25
809.477	16110.55
809.518	16200.65
809.558	16219.45
809.599	16301.15
809.639	16098.45
809.68	16211.55
809.72	16068.35
809.761	16225.75
809.801	15912.65
809.842	15782.55
809.882	15857.45
809.922	15862.05
809.963	15875.75
810.003	15813.45
810.044	15668.15
810.084	15707.05
810.124	15614.85
810.165	15787.75
810.205	15723.45
810.245	15628.15
810.286	15654.65
810.326	15793.25
810.366	15685.35
810.407	15467.65
810.447	15478.75
810.487	15486.55
810.527	15255.35
810.568	15310.95
810.608	15093.05
810.648	15175.45
810.688	15088.55
810.729	14963.25
810.769	14931.75
810.809	14828.25
810.849	14788.75
810.889	14739.05
810.93	14561.45
810.97	14477.35
811.01	14462.85
811.05	14448.25
811.09	14342.25
811.13	14307.35
811.17	14227.65
811.211	14144.45
811.251	14121.45
811.291	14013.95
811.331	13925.95
811.371	13977.25
811.411	13847.15
811.451	13781.45
811.491	13715.15
811.531	13684.65
811.571	13615.35
811.611	13610.65
811.651	13588.45
811.691	13547.85
811.731	13632.75
811.771	13445.75
811.811	13456.25
811.851	13366.25
811.891	13431.65
811.931	13524.75
811.971	13287.75
812.01	13425.45
812.05	13371.35
812.09	13376.65
812.13	13387.85
812.17	13353.15
812.21	13318.15
812.25	13384.15
812.289	13372.45
812.329	13328.95
812.369	13263.15
812.409	13321.55
812.449	13209.45
812.488	13282.65
812.528	13232.85
812.568	13191.95
812.608	13070.95
812.647	13061.75
812.687	13143.35
812.727	12984.75
812.767	13021.65
812.806	12973.75
812.846	12917.45
812.886	12822.65
812.925	12782.35
812.965	12849.45
813.005	12684.95
813.044	12608.15
813.084	12542.85
813.124	12457.35
813.163	12407.25
813.203	12353.45
813.242	12345.95
813.282	12232.35
813.322	11991.55
813.361	11978.65
813.401	12014.35
813.44	11882.65
813.48	11816.45
813.519	11848.45
813.559	11695.65
813.598	11571.35
813.638	11445.55
813.677	11479.95
813.717	11448.85
813.756	11360.75
813.796	11089.15
813.835	11055.15
813.875	11077.75
813.914	10866.35
813.953	10891.25
813.993	10771.35
814.032	10665.65
814.072	10657.85
814.111	10675.85
814.15	10442.25
814.19	10539.05
814.229	10347.85
814.268	10319.05
814.308	10255.65
814.347	10110.85
814.386	10230.05
814.426	10067.35
814.465	10028.65
814.504	9939.55
814.543	9967.15
814.583	9968.85
814.622	9828.05
814.661	9722.85
814.7	9638.95
814.74	9614.55
814.779	9566.25
814.818	9523.25
814.857	9427.45
814.896	9457.85
814.936	9360.85
814.975	9357.25
815.014	9231.05
815.053	9115.65
815.092	9222.55
815.131	9104.65
815.17	9077.15
815.209	9034.75
815.249	9161.95
815.288	9053.95
815.327	8885.25
815.366	8901.15
815.405	8763.65
815.444	8786.85
815.483	8650.85
815.522	8589.05
815.561	8622.45
815.6	8551.35
815.639	8416.65
815.678	8418.15
815.717	8410.15
815.756	8272.55
815.795	8181.05
815.834	8094.55
815.873	8132.75
815.912	7985.45
815.95	7957.95
815.989	7756.85
816.028	7855.45
816.067	7751.15
816.106	7537.95
816.145	7561.05
816.184	7574.35
816.223	7422.75
816.261	7319.05
816.3	7296.55
816.339	7193.25
816.378	7143.55
816.417	7100.05
816.455	6931.35
816.494	6998.05
816.533	6796.95
816.572	6770.05
816.61	6797.05
816.649	6630.45
816.688	6627.25
816.727	6616.95
816.765	6416.55
816.804	6520.45
816.843	6468.45
816.881	6453.85
816.92	6256.45
816.959	6173.65
816.997	6210.75
817.036	6155.45
817.075	6137.35
817.113	5993.95
817.152	6006.25
817.19	5904.35
817.229	5965.95
817.267	5974.35
817.306	5796.55
817.345	5809.05
817.383	5833.85
817.422	5716.25
817.46	5712.15
817.499	5704.55
817.537	5676.35
817.576	5542.15
817.614	5654.35
817.653	5617.75
817.691	5587.85
817.73	5533.85
817.768	5570.85
817.806	5467.95
817.845	5449.55
817.883	5254.15
817.922	5389.45
817.96	5265.75
817.998	5205.75
818.037	5159.65
818.075	5069.45
818.114	5143.45
818.152	5028.45
818.19	4953.55
818.229	4957.45
818.267	4950.05
818.305	4821.65
818.343	4760.15
818.382	4700.05
818.42	4665.05
818.458	4703.95
818.497	4588.25
818.535	4582.55
